Code	FOOD ITEM	REFERENCE PORTION	Reference ESHA	 Quantity 	Measure	 Gram Weight (g) 	 Calories (Kcal) 	 Calories from Fat (Kcal) 	 Calories from SatFat(Kcal) 	 Protein (g) 	 Carbohydrates (g) 	 Total Dietary Fiber (g) 	 Total Soluble Fiber (g) 	 Dietary Fiber (2016) (g) 	 Soluble Fiber (2016)(g) 	 Total Sugars(g) 	 Added Sugar(g) 	 Monosaccharides(g) 	 Disaccharides(g) 	 Other Carbs(g) 	 Fat(g) 	 Saturated Fat(g) 	 Mono Fat(g) 	 Poly Fat(g) 	 Trans Fatty Acid(g) 	 Cholesterol(mg) 	 Water(g) 	 Vitamin A - IU 	 Vitamin A - RAE (mcg) 	 Carotenoid RE (mcg) 	 Retinol RE (mcg) 	 Beta-Carotene(mcg) 	 Vitamin B1 - Thiamin(mg) 	 Vitamin B2 - Riboflavin(mg) 	 Vitamin B3 - Niacin (mg) 	 Vitamin B3 - Niacin Equiv (mg) 	 Vitamin B6 (mg) 	 Vitamin B12(mcg) 	 Biotin(mcg) 	 Vitamin C(mcg) 	 Vitamin D - IU 	 Vitamin D - mcg 	 Vitamin E - Alpha-Toco (mg) 	 Folate(mcg) 	 Folate, DFE (mcg) 	 Vitamin K(mcg) 	 Pantothenic Acid (mg) 	 Calcium(mg) 	 Chromium(mcg) 	 Copper(mg) 	 Fluoride(mg) 	 Iodine(mcg) 	 Iron(mg) 	 Magnesium(mg) 	 Manganese(mg) 	 Molybdenum(mcg) 	 Phosphorus(mg) 	 Potassium(mg) 	 Selenium(mcg) 	 Sodium(mg) 	 Zinc(mg) 	 Omega 3 Fatty Acid(g) 	 Omega 6 Fatty Acid(g) 	 Alcohol(g) 	 Caffeine(mg) 	 Choline(mg) 
4.2	Dried fruits (dates, figs, apricot, prunes)	Side A	Average	 100 	Gram	 100.00 	 314.96 	 53.62 	 0.51 	 2.35 	 67.41 	 9.95 	 0.37 	 9.95 	 0.37 	 51.57 	 -   	 21.20 	 2.78 	 5.89 	 5.96 	 0.06 	 0.07 	 0.08 	 -   	 -   	 23.37 	 846.30 	 65.04 	 84.63 	 -   	 370.88 	 0.06 	 0.09 	 1.38 	 1.51 	 0.17 	 -   	 -   	 1.27 	 -   	 -   	 0.86 	 11.38 	 11.38 	 11.94 	 0.28 	 129.96 	 -   	 0.27 	 -   	 -   	 2.63 	 42.63 	 0.17 	 -   	 69.38 	 732.13 	 1.33 	 9.44 	 0.38 	 0.01 	 0.08 	 -   	 -   	 10.65 
4.3	Fresh fruit juice 	Side A	Average	 100 	Gram	 100.00 	 29.91 	 1.65 	 0.26 	 0.49 	 7.63 	 0.37 	 0.14 	 0.37 	 0.14 	 5.55 	 -   	 1.14 	 0.75 	 1.71 	 0.18 	 0.03 	 0.04 	 0.04 	 -   	 -   	 91.45 	 153.64 	 14.68 	 15.36 	 -   	 144.66 	 0.04 	 0.02 	 0.23 	 0.26 	 0.04 	 -   	 0.20 	 27.64 	 -   	 -   	 0.15 	 17.31 	 17.31 	 0.45 	 0.10 	 8.60 	 0.22 	 0.04 	 -   	 1.30 	 0.15 	 8.01 	 0.01 	 -   	 10.32 	 119.61 	 0.21 	 1.16 	 0.06 	 0.01 	 0.03 	 -   	 -   	 4.57 
4.4	Fruit based dessert (cocktails)	Side A	Average	 100 	Gram	 100.00 	 159.96 	 44.67 	 40.05 	 1.34 	 29.44 	 2.89 	 0.10 	 2.73 	 0.02 	 19.37 	 9.45 	 0.44 	 0.36 	 2.81 	 4.96 	 4.45 	 0.31 	 0.09 	 -   	 -   	 48.24 	 544.74 	 38.41 	 54.47 	 -   	 133.30 	 0.02 	 0.02 	 0.62 	 0.63 	 0.08 	 -   	 0.12 	 19.66 	 -   	 -   	 0.69 	 15.05 	 15.05 	 2.35 	 0.04 	 10.38 	 -   	 0.13 	 -   	 0.04 	 0.52 	 15.32 	 0.12 	 -   	 30.49 	 197.29 	 3.06 	 84.72 	 0.22 	 0.03 	 0.06 	 -   	 -   	 7.76 
5	Milk, Dairy, & Alternatives																																																																	
5.1	Full fat milk	Side A	Average	 100 	Gram	 100.00 	 56.40 	 25.34 	 6.82 	 3.12 	 4.76 	 -   	 -   	 -   	 -   	 2.41 	 -   	 -   	 1.20 	 -   	 2.82 	 0.76 	 0.31 	 0.06 	 -   	 4.50 	 44.29 	 140.50 	 26.25 	 0.50 	 25.75 	 2.75 	 0.03 	 0.08 	 0.05 	 0.21 	 0.03 	 0.25 	 -   	 0.03 	 31.50 	 0.30 	 0.03 	 1.50 	 1.50 	 0.13 	 0.09 	 114.75 	 -   	 0.01 	 -   	 -   	 0.01 	 5.50 	 -   	 -   	 46.75 	 72.25 	 1.40 	 20.50 	 0.20 	 0.02 	 0.05 	 -   	 -   	 8.05 
5.2	Low fat milk	Side A	Average	 100 	Gram	 100.00 	 44.87 	 12.39 	 5.47 	 3.23 	 4.90 	 -   	 -   	 -   	 -   	 3.25 	 -   	 0.01 	 1.59 	 0.08 	 1.38 	 0.61 	 0.26 	 0.03 	 0.03 	 4.33 	 59.64 	 100.67 	 28.67 	 0.67 	 28.33 	 2.67 	 0.03 	 0.11 	 0.07 	 0.29 	 0.03 	 0.38 	 -   	 0.07 	 28.33 	 0.37 	 0.02 	 2.33 	 2.33 	 0.10 	 0.12 	 117.00 	 -   	 0.00 	 -   	 -   	 0.01 	 7.67 	 0.00 	 -   	 65.00 	 99.67 	 1.53 	 28.67 	 0.30 	 0.00 	 0.03 	 -   	 -   	 11.27 
5.3	Non-dairy alternative (soya, oat, almond milk)	Side A	Average	 100 	Gram	 100.00 	 33.00 	 11.34 	 0.84 	 1.41 	 4.03 	 0.27 	 0.03 	 -   	 -   	 2.92 	 1.33 	 -   	 -   	 0.85 	 1.26 	 0.09 	 0.56 	 0.48 	 -   	 -   	 92.59 	 48.33 	 43.05 	 0.10 	 43.00 	 0.67 	 0.04 	 0.04 	 0.22 	 0.43 	 0.03 	 -   	 1.83 	 -   	 27.33 	 0.67 	 1.87 	 6.67 	 6.67 	 1.00 	 0.13 	 133.00 	 -   	 0.06 	 -   	 0.30 	 0.42 	 12.67 	 0.09 	 -   	 23.67 	 83.00 	 1.70 	 63.67 	 0.08 	 0.02 	 0.35 	 -   	 -   	 8.87 
5.4	 Yogurt (plain) (zabadi/robe)	Side A or 1 small container (170-200ml)	Average	 100 	Gram	 100.00 	 72.77 	 26.76 	 11.91 	 6.17 	 5.25 	 -   	 -   	 -   	 -   	 2.31 	 -   	 -   	 -   	 0.13 	 2.97 	 1.32 	 0.16 	 0.02 	 -   	 3.50 	 42.27 	 45.00 	 17.50 	 -   	 17.50 	 1.33 	 0.02 	 0.12 	 0.09 	 0.09 	 0.03 	 0.30 	 -   	 0.27 	 28.00 	 0.20 	 0.01 	 5.00 	 5.00 	 0.07 	 -   	 127.33 	 -   	 0.01 	 -   	 -   	 0.03 	 6.50 	 -   	 -   	 69.50 	 86.00 	 4.27 	 23.33 	 0.34 	 0.00 	 0.02 	 -   	 -   	 7.58 
5.6	Ayran /Laban (drinkable) 	Side A/ 1 small bottle (200ml)	Average	 100 	Gram	 100.00 	 37.13 	 9.59 	 1.34 	 2.22 	 3.51 	 -   	 -   	 -   	 -   	 1.73 	 -   	 -   	 -   	 0.14 	 1.07 	 0.15 	 0.07 	 0.01 	 -   	 1.25 	 21.82 	 55.00 	 43.50 	 -   	 43.50 	 0.50 	 0.01 	 0.04 	 0.03 	 0.03 	 0.02 	 0.08 	 -   	 0.20 	 25.00 	 0.25 	 0.01 	 4.50 	 4.50 	 0.15 	 -   	 86.00 	 -   	 0.00 	 -   	 -   	 0.01 	 3.00 	 -   	 -   	 25.00 	 39.75 	 0.90 	 19.50 	 0.11 	 0.00 	 0.01 	 -   	 -   	 3.80 
5.7	Yogurt (flavored)	Side A or 1 small container (170-200ml)	Average	 100 	Gram	 100.00 	 134.29 	 19.77 	 8.72 	 16.28 	 12.73 	 -   	 -   	 -   	 -   	 6.57 	 1.42 	 -   	 -   	 2.11 	 2.20 	 0.97 	 0.21 	 0.04 	 -   	 15.07 	 26.88 	 66.67 	 20.67 	 -   	 20.67 	 0.83 	 0.01 	 0.08 	 0.05 	 0.05 	 0.02 	 0.20 	 -   	 0.13 	 33.23 	 0.50 	 0.01 	 3.33 	 3.33 	 0.07 	 -   	 228.46 	 -   	 0.01 	 -   	 -   	 0.02 	 4.33 	 -   	 -   	 43.17 	 81.93 	 2.15 	 48.42 	 0.22 	 0.00 	 0.02 	 -   	 -   	 8.02 
5.8	Labneh	Side A	Average	 100 	Gram	 100.00 	 158.00 	 126.00 	 88.20 	 4.50 	 3.50 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 14.00 	 9.80 	 -   	 -   	 -   	 -   	 -   	 135.00 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 40.00 	 -   	 -   	 -   	 -   	 -   	 -   	 200.00 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   
5.9	White cheese 	1 square/ Side A or B	Average	 100 	Gram	 100.00 	 257.25 	 161.38 	 76.81 	 20.28 	 3.58 	 -   	 -   	 -   	 -   	 0.81 	 -   	 0.12 	 0.03 	 0.41 	 17.93 	 8.54 	 1.49 	 0.17 	 -   	 18.13 	 28.58 	 170.43 	 48.13 	 2.57 	 60.38 	 12.63 	 0.02 	 0.16 	 0.04 	 1.11 	 0.02 	 0.45 	 0.47 	 -   	 3.63 	 0.09 	 0.05 	 3.25 	 3.25 	 0.51 	 0.02 	 202.75 	 -   	 0.01 	 -   	 5.00 	 0.12 	 6.88 	 0.00 	 0.66 	 141.13 	 36.38 	 5.91 	 345.69 	 150.83 	 0.07 	 0.10 	 -   	 -   	 6.26 
5.10	Cheese (yellow/hard and processed)	1square/triangular portion/ Side A or B	Average	 100 	Gram	 100.00 	 377.82 	 222.18 	 110.19 	 19.33 	 4.80 	 -   	 -   	 -   	 -   	 1.76 	 -   	 2.39 	 0.85 	 1.86 	 24.69 	 12.24 	 4.91 	 0.66 	 0.38 	 61.55 	 25.65 	 564.82 	 156.18 	 5.45 	 153.45 	 26.91 	 0.02 	 0.23 	 0.05 	 2.86 	 0.05 	 0.84 	 0.95 	 -   	 18.55 	 0.45 	 0.30 	 8.36 	 8.36 	 1.22 	 0.31 	 408.82 	 -   	 0.02 	 0.00 	 13.43 	 0.21 	 16.73 	 0.01 	 1.85 	 294.55 	 112.36 	 12.36 	 762.36 	 2.00 	 0.14 	 0.50 	 -   	 -   	 10.77 
6	Meat																																																																	
6.1	Beef	Side B	Average	 100 	Gram	 100.00 	 212.28 	 106.36 	 38.85 	 24.07 	 1.61 	 0.17 	 -   	 -   	 -   	 0.47 	 -   	 -   	 -   	 0.99 	 11.82 	 4.32 	 5.55 	 0.63 	 0.11 	 86.00 	 60.83 	 2.80 	 6.40 	 -   	 6.40 	 0.20 	 0.06 	 0.23 	 5.56 	 7.18 	 0.48 	 2.67 	 -   	 0.12 	 5.00 	 0.12 	 0.20 	 9.80 	 10.78 	 1.44 	 0.23 	 25.40 	 0.47 	 0.08 	 -   	 -   	 2.70 	 20.60 	 0.00 	 0.68 	 213.40 	 314.21 	 23.70 	 240.68 	 5.37 	 0.04 	 0.44 	 -   	 -   	 79.48 
6.2	Lamb 	Side B	Average	 100 	Gram	 100.00 	 252.24 	 143.82 	 45.31 	 22.57 	 3.37 	 0.57 	 -   	 -   	 -   	 0.44 	 0.13 	 -   	 -   	 -   	 15.98 	 5.03 	 5.43 	 0.89 	 -   	 65.84 	 54.32 	 45.00 	 0.14 	 -   	 0.14 	 -   	 0.11 	 0.28 	 7.50 	 7.50 	 0.19 	 2.66 	 -   	 0.29 	 3.33 	 0.08 	 0.13 	 17.00 	 14.67 	 3.28 	 -   	 16.63 	 -   	 0.15 	 -   	 -   	 2.20 	 26.50 	 -   	 -   	 171.67 	 329.57 	 23.95 	 422.44 	 5.11 	 0.16 	 0.73 	 -   	 -   	 78.25 
6.3	Poultry	Side B	Average	 100 	Gram	 100.00 	 164.67 	 69.74 	 15.28 	 24.70 	 0.42 	 0.08 	 -   	 0.07 	 -   	 0.15 	 -   	 0.10 	 0.03 	 0.12 	 8.39 	 1.70 	 2.44 	 1.25 	 0.00 	 88.07 	 50.51 	 8.52 	 7.60 	 0.06 	 7.39 	 2.53 	 0.06 	 0.14 	 8.62 	 10.40 	 0.50 	 0.22 	 0.11 	 1.25 	 2.44 	 0.05 	 0.40 	 5.16 	 4.83 	 0.85 	 0.36 	 12.99 	 0.10 	 0.04 	 -   	 1.07 	 0.71 	 19.09 	 0.01 	 0.15 	 158.55 	 241.56 	 18.80 	 222.42 	 0.88 	 0.09 	 1.13 	 -   	 -   	 60.93 
6.4	Fried Chicken	Nuggets/ Side B	Average	 100 	Gram	 100.00 	 261.65 	 135.72 	 28.10 	 18.68 	 12.43 	 0.61 	 0.00 	 0.00 	 -   	 0.31 	 0.19 	 0.19 	 0.05 	 8.11 	 15.08 	 3.12 	 4.88 	 4.11 	 0.06 	 62.29 	 47.23 	 29.07 	 8.53 	 0.55 	 8.89 	 4.18 	 0.09 	 0.15 	 6.39 	 7.29 	 0.24 	 0.25 	 -   	 0.68 	 3.84 	 0.09 	 0.73 	 12.65 	 16.04 	 5.51 	 0.61 	 22.11 	 0.11 	 0.06 	 -   	 0.50 	 1.00 	 20.47 	 0.07 	 -   	 194.35 	 214.14 	 18.09 	 504.52 	 0.80 	 0.32 	 3.75 	 -   	 -   	 39.57 
6.5	Egg 	1 egg	Average	 100 	Gram	 100.00 	 161.00 	 107.64 	 30.79 	 11.42 	 1.00 	 -   	 -   	 -   	 -   	 0.70 	 -   	 0.09 	 0.37 	 0.30 	 11.96 	 3.42 	 4.75 	 2.94 	 0.21 	 332.00 	 74.51 	 192.67 	 156.67 	 1.33 	 156.00 	 8.67 	 0.03 	 0.40 	 0.07 	 0.83 	 0.15 	 0.71 	 5.50 	 -   	 76.00 	 1.90 	 1.31 	 34.67 	 34.67 	 4.10 	 0.41 	 58.00 	 -   	 0.07 	 -   	 14.20 	 1.57 	 11.33 	 0.01 	 5.00 	 182.67 	 133.00 	 27.60 	 176.00 	 1.18 	 0.24 	 2.64 	 -   	 -   	 225.03 
6.6	Burger	1 medium size	Average	 100 	Gram	 100.00 	 239.59 	 133.16 	 38.73 	 19.02 	 6.68 	 0.23 	 -   	 -   	 -   	 0.62 	 -   	 -   	 -   	 5.83 	 14.80 	 4.30 	 6.30 	 1.96 	 -   	 39.00 	 37.87 	 -   	 4.00 	 -   	 4.00 	 0.33 	 0.05 	 0.09 	 2.83 	 3.85 	 0.15 	 0.66 	 -   	 0.20 	 5.00 	 0.13 	 0.48 	 8.67 	 10.63 	 1.77 	 0.36 	 34.67 	 -   	 0.05 	 -   	 -   	 1.91 	 14.33 	 0.09 	 -   	 126.00 	 294.69 	 13.47 	 343.61 	 1.62 	 0.05 	 1.75 	 -   	 -   	 33.60 
6.7	Offal/Organ meat (liver, heart, brain, etc.)	Side B	Average	 100 	Gram	 100.00 	 164.29 	 52.46 	 16.73 	 25.10 	 1.11 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 1.11 	 5.83 	 1.86 	 1.19 	 1.27 	 0.07 	 838.57 	 66.11 	 4,530.57 	 1,913.71 	 4.00 	 1,910.43 	 37.29 	 0.15 	 1.99 	 7.59 	 8.47 	 0.45 	 24.03 	 -   	 5.71 	 20.57 	 0.51 	 0.53 	 143.57 	 143.57 	 0.63 	 1.24 	 10.57 	 -   	 2.46 	 -   	 -   	 6.37 	 17.71 	 0.06 	 1.76 	 334.14 	 222.71 	 78.59 	 311.14 	 3.10 	 0.19 	 0.86 	 -   	 -   	 381.99 
6.8	Processed meat (hot dog/ salami/ mortadella)	Side B/ Hotdog size/Regular cured meat slice/	Average	 100 	Gram	 100.00 	 264.97 	 181.28 	 64.72 	 17.33 	 2.22 	 0.02 	 -   	 -   	 -   	 1.28 	 0.22 	 -   	 -   	 0.93 	 20.14 	 7.19 	 8.72 	 2.59 	 -   	 70.52 	 44.55 	 2.00 	 7.67 	 -   	 7.67 	 1.17 	 0.14 	 0.16 	 3.43 	 3.92 	 0.19 	 0.79 	 -   	 1.35 	 29.67 	 0.73 	 0.42 	 1.50 	 1.50 	 0.58 	 0.10 	 13.00 	 -   	 0.06 	 -   	 -   	 1.67 	 12.17 	 0.00 	 -   	 127.67 	 259.33 	 17.30 	 1,103.72 	 1.93 	 0.14 	 2.35 	 -   	 -   	 51.23 
7	 Fish and Seafood																																																																	
7.1	Fish Grilled/Boiled/Canned/Raw 	Side B	Average	 100 	Gram	 100.00 	 174.67 	 65.64 	 12.01 	 25.69 	 0.03 	 -   	 -   	 -   	 -   	 0.01 	 -   	 -   	 -   	 0.02 	 7.29 	 1.33 	 2.58 	 2.10 	 -   	 45.00 	 65.72 	 -   	 25.33 	 -   	 25.33 	 -   	 0.06 	 0.11 	 8.88 	 8.88 	 0.37 	 3.31 	 -   	 0.17 	 362.67 	 9.07 	 0.81 	 6.33 	 6.33 	 16.67 	 -   	 11.00 	 -   	 0.07 	 -   	 -   	 0.77 	 30.33 	 -   	 -   	 297.67 	 326.00 	 49.30 	 414.33 	 0.62 	 0.58 	 1.49 	 -   	 -   	 79.53 
7.2	Fish Fried 	Side B	Average	 100 	Gram	 100.00 	 166.00 	 73.26 	 13.04 	 22.17 	 0.10 	 -   	 -   	 -   	 -   	 0.04 	 -   	 -   	 -   	 0.06 	 8.14 	 1.45 	 3.09 	 2.40 	 -   	 59.00 	 68.93 	 -   	 18.00 	 -   	 18.00 	 -   	 0.06 	 0.10 	 5.69 	 5.69 	 0.38 	 3.30 	 -   	 0.50 	 272.00 	 6.80 	 1.05 	 10.00 	 10.00 	 5.50 	 -   	 11.00 	 -   	 0.07 	 -   	 -   	 0.45 	 29.00 	 -   	 -   	 287.00 	 380.00 	 32.40 	 420.00 	 0.47 	 0.68 	 1.67 	 -   	 -   	 90.30 
7.3.1	Seafood-Grilled/Boiled/Canned /Raw  " Shrimp"	Shrimp: 1 medium	Average	 100 	Gram	 100.00 	 121.40 	 35.21 	 6.42 	 14.50 	 6.05 	 0.26 	 -   	 0.14 	 -   	 0.38 	 0.34 	 -   	 -   	 5.41 	 3.91 	 0.71 	 1.36 	 1.45 	 -   	 133.00 	 73.20 	 -   	 51.80 	 -   	 51.20 	 7.60 	 0.04 	 0.03 	 1.80 	 1.80 	 0.16 	 0.95 	 -   	 0.30 	 4.80 	 0.12 	 1.65 	 19.40 	 20.18 	 3.52 	 -   	 61.00 	 -   	 0.19 	 -   	 -   	 0.40 	 23.40 	 -   	 -   	 229.60 	 114.40 	 31.60 	 412.00 	 1.09 	 0.29 	 1.14 	 -   	 -   	 86.34 
7.3.2	Seafood-Grilled/Boiled/Canned /Raw  " Calamari"	Shrimp: 1 medium	Average	 100 	Gram	 100.00 	 143.00 	 47.97 	 8.37 	 18.57 	 3.76 	 -   	 -   	 -   	 -   	 0.03 	 -   	 -   	 -   	 3.73 	 5.33 	 0.93 	 1.67 	 2.14 	 -   	 278.00 	 69.87 	 -   	 10.00 	 -   	 10.00 	 -   	 0.02 	 0.39 	 2.46 	 2.46 	 0.06 	 1.47 	 -   	 5.80 	 -   	 -   	 1.86 	 6.00 	 6.00 	 4.30 	 -   	 39.00 	 -   	 2.25 	 -   	 -   	 0.82 	 39.00 	 -   	 -   	 263.00 	 295.00 	 53.40 	 358.00 	 1.82 	 0.78 	 1.34 	 -   	 -   	 77.50 
7.3.3	Seafood-Grilled/Boiled/Canned /Raw  " Crab"	Crab stick: 1 stick	Average	 100 	Gram	 100.00 	 95.00 	 4.14 	 1.41 	 7.62 	 15.00 	 0.50 	#DIV/0!	#DIV/0!	#DIV/0!	 6.25 	 6.01 	#DIV/0!	#DIV/0!	 8.25 	 0.46 	 0.16 	 0.20 	 0.10 	#DIV/0!	 20.00 	 74.66 	#DIV/0!	 -   	#DIV/0!	 -   	 -   	 0.03 	 0.08 	 0.62 	 0.62 	 0.13 	 0.57 	#DIV/0!	 -   	 -   	 -   	 0.17 	 -   	 -   	 0.40 	#DIV/0!	 13.00 	#DIV/0!	 0.03 	#DIV/0!	#DIV/0!	 0.39 	 43.00 	#DIV/0!	#DIV/0!	 282.00 	 90.00 	 22.30 	 529.00 	 0.33 	 0.03 	 0.01 	 -   	 -   	 13.00 
7.4.1	Seafood-Fried "Shrimp"	Shrimp: 1 medium	Average	 100 	Gram	 100.00 	 147.00 	 25.56 	 7.03 	 16.77 	 12.20 	 0.70 	 -   	 -   	 -   	 1.00 	 0.92 	 -   	 -   	 10.50 	 2.84 	 0.78 	 0.73 	 0.82 	 -   	 164.00 	 65.55 	 -   	 68.00 	 -   	 68.00 	 -   	 0.13 	 0.12 	 2.59 	 2.59 	 0.18 	 1.06 	 -   	 -   	 12.00 	 0.30 	 1.42 	 30.00 	 34.60 	 1.40 	 -   	 88.00 	 -   	 0.23 	 -   	 -   	 1.15 	 30.00 	 -   	 -   	 286.00 	 157.00 	 36.20 	 496.00 	 1.32 	 0.19 	 0.61 	 -   	 -   	 108.40 
7.4.2	Seafood-Fried "Calamari"	Calamari: 1 medium	Average	 100 	Gram	 100.00 	 203.00 	 87.35 	 17.57 	 17.42 	 10.37 	 0.30 	 -   	 -   	 -   	 0.46 	 0.42 	 -   	 -   	 5.72 	 9.71 	 1.96 	 3.57 	 3.40 	 -   	 251.00 	 60.22 	 35.00 	 17.50 	 -   	 17.50 	 -   	 0.09 	 0.45 	 2.69 	 4.37 	 0.07 	 1.20 	 -   	 3.75 	 4.00 	 0.10 	 1.12 	 15.50 	 20.95 	 5.85 	 0.51 	 49.50 	 -   	 1.92 	 -   	 -   	 1.24 	 37.00 	 0.07 	 -   	 244.50 	 269.00 	 49.00 	 344.00 	 1.71 	 0.80 	 2.60 	 -   	 -   	 41.90 
