Code	FOOD ITEM	REFERENCE PORTION	Reference ESHA	 Quantity 	Measure	 Gram Weight (g) 	 Calories (Kcal) 	 Calories from Fat (Kcal) 	 Calories from SatFat(Kcal) 	 Protein (g) 	 Carbohydrates (g) 	 Total Dietary Fiber (g) 	 Total Soluble Fiber (g) 	 Dietary Fiber (2016) (g) 	 Soluble Fiber (2016)(g) 	 Total Sugars(g) 	 Added Sugar(g) 	 Monosaccharides(g) 	 Disaccharides(g) 	 Other Carbs(g) 	 Fat(g) 	 Saturated Fat(g) 	 Mono Fat(g) 	 Poly Fat(g) 	 Trans Fatty Acid(g) 	 Cholesterol(mg) 	 Water(g) 	 Vitamin A - IU 	 Vitamin A - RAE (mcg) 	 Carotenoid RE (mcg) 	 Retinol RE (mcg) 	 Beta-Carotene(mcg) 	 Vitamin B1 - Thiamin(mg) 	 Vitamin B2 - Riboflavin(mg) 	 Vitamin B3 - Niacin (mg) 	 Vitamin B3 - Niacin Equiv (mg) 	 Vitamin B6 (mg) 	 Vitamin B12(mcg) 	 Biotin(mcg) 	 Vitamin C(mcg) 	 Vitamin D - IU 	 Vitamin D - mcg 	 Vitamin E - Alpha-Toco (mg) 	 Folate(mcg) 	 Folate, DFE (mcg) 	 Vitamin K(mcg) 	 Pantothenic Acid (mg) 	 Calcium(mg) 	 Chromium(mcg) 	 Copper(mg) 	 Fluoride(mg) 	 Iodine(mcg) 	 Iron(mg) 	 Magnesium(mg) 	 Manganese(mg) 	 Molybdenum(mcg) 	 Phosphorus(mg) 	 Potassium(mg) 	 Selenium(mcg) 	 Sodium(mg) 	 Zinc(mg) 	 Omega 3 Fatty Acid(g) 	 Omega 6 Fatty Acid(g) 	 Alcohol(g) 	 Caffeine(mg) 	 Choline(mg) 
7.4.3	Seafood-Fried "Crab"	Crab stick: 1 stick	Average	 100 	 Gram 	 100.00 	 152.50 	 47.77 	 9.90 	 19.69 	 5.23 	 0.15 	 -   	 -   	 -   	 0.25 	 0.21 	 -   	 -   	 2.89 	 5.31 	 1.10 	 1.86 	 1.86 	 -   	 185.00 	 67.18 	 35.00 	 9.25 	 -   	 9.25 	 -   	 0.06 	 0.27 	 2.95 	 3.79 	 0.13 	 2.54 	 -   	 4.08 	 2.00 	 0.05 	 1.69 	 37.75 	 40.48 	 3.13 	 0.51 	 80.75 	 -   	 1.46 	 -   	 -   	 0.93 	 40.50 	 0.07 	 -   	 265.75 	 294.00 	 50.85 	 571.50 	 3.20 	 0.51 	 1.33 	 -   	 -   	 70.65 
8	Nuts, pulses and seeds	 																																																																
8.1	Beans, Chickpeas, Fava Beans, Lentils 	Side A	Average	 100 	Gram	 100.00 	 105.63 	 27.99 	 3.48 	 6.50 	 14.00 	 4.15 	 0.30 	 3.65 	 0.30 	 1.32 	 0.04 	 0.04 	 0.01 	 4.75 	 3.11 	 0.39 	 1.20 	 0.88 	 -   	 0.08 	 51.96 	 8.27 	 2.04 	 0.83 	 -   	 19.89 	 0.09 	 0.05 	 0.49 	 0.94 	 0.08 	 0.00 	 0.05 	 2.12 	 -   	 -   	 0.23 	 69.16 	 69.16 	 2.60 	 0.11 	 24.12 	 -   	 0.17 	 -   	 0.01 	 1.62 	 29.60 	 0.26 	 18.82 	 85.87 	 203.28 	 1.65 	 204.41 	 0.77 	 0.07 	 0.50 	 -   	 -   	 10.92 
8.2	Salted roasted/Nuts/ Seeds	Side A	Average	 100 	Gram	 100.00 	 583.01 	 442.97 	 72.69 	 20.57 	 23.46 	 6.69 	 0.22 	 6.35 	 0.22 	 3.57 	 -   	 0.08 	 2.28 	 7.71 	 49.22 	 8.08 	 21.66 	 19.98 	 0.01 	 -   	 2.26 	 26.17 	 1.52 	 2.85 	 -   	 17.91 	 0.21 	 0.27 	 4.83 	 7.83 	 0.38 	 -   	 4.45 	 0.78 	 -   	 -   	 7.66 	 84.45 	 84.45 	 5.96 	 0.96 	 117.54 	 -   	 1.28 	 -   	 0.18 	 4.47 	 262.21 	 1.64 	 5.36 	 589.47 	 703.69 	 26.65 	 783.42 	 4.41 	 0.90 	 17.60 	 -   	 -   	 40.61 
8.3	Unsalted raw Nuts/ Seeds	Side A	Average	 100 	Gram	 100.00 	 587.88 	 456.98 	 52.25 	 19.13 	 22.47 	 14.07 	 0.43 	 14.07 	 0.43 	 2.66 	 -   	 0.02 	 0.22 	 5.04 	 50.78 	 5.81 	 16.21 	 20.92 	 0.01 	 -   	 4.05 	 7.55 	 0.56 	 0.75 	 -   	 4.91 	 0.58 	 0.30 	 4.06 	 5.38 	 0.31 	 -   	 2.73 	 0.70 	 -   	 -   	 4.90 	 80.91 	 80.91 	 4.48 	 0.06 	 272.00 	 -   	 1.42 	 -   	 0.05 	 5.85 	 295.18 	 0.78 	 5.36 	 548.18 	 580.55 	 41.23 	 12.91 	 4.47 	 6.81 	 14.09 	 -   	 -   	 44.65 
8.4	Nut butters (peanut butter, almond butter)	Side A	Average	 100 	Gram	 100.00 	 598.00 	 462.24 	 92.92 	 22.21 	 22.31 	 5.00 	 1.40 	 5.00 	 1.40 	 10.49 	 5.77 	 0.25 	 10.24 	 6.82 	 51.36 	 10.32 	 25.94 	 12.53 	 0.07 	 -   	 1.23 	 -   	 -   	 -   	 -   	 -   	 0.15 	 0.19 	 13.11 	 16.73 	 0.44 	 -   	 94.00 	 -   	 -   	 -   	 9.10 	 87.00 	 87.00 	 0.30 	 1.14 	 49.00 	 3.81 	 0.42 	 -   	 -   	 1.74 	 168.00 	 1.66 	 -   	 335.00 	 558.00 	 4.10 	 426.00 	 2.51 	 0.03 	 12.28 	 -   	 -   	 63.00 
8.5	Falafel (fried)	1 falafel piece	Average	 100 	Gram	 100.00 	 387.00 	 229.01 	 30.98 	 10.50 	 31.13 	 5.30 	 -   	 5.30 	 -   	 2.92 	 -   	 -   	 -   	 22.92 	 25.45 	 3.45 	 10.39 	 10.52 	 -   	 -   	 30.36 	 -   	 8.50 	 -   	 -   	 92.00 	 0.29 	 0.11 	 1.10 	 1.10 	 0.23 	 -   	 -   	 8.55 	 -   	 -   	 3.23 	 163.50 	 165.25 	 46.95 	 -   	 55.00 	 -   	 0.29 	 -   	 -   	 2.92 	 29.00 	 -   	 -   	 129.50 	 315.00 	 1.25 	 407.00 	 1.36 	 1.27 	 9.26 	 -   	 -   	 43.80 
9	Traditional Mixed Dishes																																																																	
9.1	Al Harees/ Madhrooba	Side A	Average	 100 	Gram	 100.00 	 79.95 	 15.49 	 2.46 	 4.61 	 7.15 	 1.45 	 0.09 	 1.45 	 0.09 	 0.12 	 -   	 0.02 	 -   	 2.05 	 1.73 	 0.27 	 0.26 	 0.51 	 0.13 	 7.94 	 52.52 	 246.95 	 11.56 	 21.82 	 0.59 	 128.26 	 0.02 	 0.03 	 0.67 	 1.09 	 0.06 	 0.05 	 0.03 	 2.95 	 0.08 	 -   	 0.30 	 5.50 	 5.50 	 26.82 	 0.05 	 23.85 	 0.02 	 0.03 	 0.02 	 70.53 	 1.23 	 7.43 	 0.13 	 0.03 	 25.58 	 55.72 	 2.09 	 577.50 	 0.30 	 0.01 	 0.50 	 -   	 -   	 5.75 
9.2	Thareed	Side A	Average	 100 	Gram	 100.00 	 102.40 	 28.56 	 9.22 	 4.29 	 11.87 	 3.04 	 0.20 	 3.04 	 0.20 	 1.58 	 -   	 0.31 	 0.22 	 6.41 	 3.17 	 1.02 	 1.01 	 0.27 	 -   	 10.69 	 67.45 	 925.71 	 46.29 	 92.57 	 -   	 449.45 	 0.06 	 0.05 	 1.21 	 1.95 	 0.07 	 0.28 	 0.67 	 7.45 	 0.22 	 0.01 	 0.13 	 7.67 	 7.67 	 1.84 	 0.14 	 19.60 	 0.07 	 0.06 	 0.03 	 163.07 	 1.60 	 19.50 	 0.89 	 1.10 	 54.60 	 170.68 	 7.38 	 1,272.17 	 0.87 	 0.04 	 0.23 	 -   	 -   	 13.64 
9.3	Balaleet	Side A	Average	 100 	Gram	 100.00 	 199.00 	 54.90 	 -   	 5.50 	 30.40 	 0.60 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 6.10 	 -   	 -   	 -   	 -   	 -   	 57.10 	 -   	 -   	 -   	 48.00 	 -   	 0.12 	 0.16 	 1.70 	 -   	 -   	 0.40 	 6.35 	 0.90 	 -   	 400.00 	 -   	 -   	 -   	 -   	 0.46 	 51.00 	 -   	 0.12 	 -   	 -   	 1.20 	 21.00 	 -   	 -   	 58.00 	 146.00 	 -   	 195.00 	 0.90 	 -   	 -   	 -   	 -   	 -   
9.4	Machboos/ Biryani/ 	Side A	Average	 100 	Gram	 100.00 	 153.32 	 32.32 	 8.64 	 3.67 	 26.46 	 1.33 	 0.05 	 1.02 	 0.05 	 1.31 	 0.04 	 0.21 	 0.07 	 23.82 	 3.62 	 0.96 	 1.30 	 0.74 	 0.03 	 4.22 	 48.60 	 58.21 	 17.68 	 2.54 	 15.93 	 12.57 	 0.09 	 0.04 	 0.71 	 0.89 	 0.06 	 0.00 	 0.55 	 1.72 	 0.50 	 0.01 	 0.38 	 31.79 	 51.34 	 1.62 	 0.18 	 33.81 	 0.14 	 0.05 	 0.01 	 31.78 	 1.06 	 9.90 	 0.31 	 0.35 	 36.26 	 114.16 	 2.31 	 335.82 	 0.23 	 0.05 	 0.59 	 -   	 -   	 2.28 
9.5	Rice Muhammar or Baranyoosh**	Side A	Average	 100 	Gram	 100.00 	 293.40 	 3.13 	 0.85 	 3.97 	 67.60 	 0.84 	 0.21 	 0.84 	 0.21 	 20.26 	 19.96 	 0.12 	 20.14 	 46.50 	 0.35 	 0.09 	 0.11 	 0.09 	 -   	 -   	 27.73 	 -   	 -   	 -   	 -   	 -   	 0.35 	 0.03 	 3.06 	 3.83 	 0.09 	 -   	 1.80 	 -   	 -   	 -   	 0.07 	 138.60 	 231.60 	 -   	 0.81 	 7.60 	 0.54 	 0.07 	 -   	 0.02 	 2.63 	 21.40 	 0.66 	#DIV/0!	 64.80 	 52.00 	 9.18 	 1.20 	 0.70 	 0.02 	 0.08 	 -   	 -   	 -   
9.6	Saloona/ Stews	Side A	Average	 100 	Gram	 100.00 	 72.62 	 26.87 	 6.09 	 2.89 	 9.39 	 1.75 	 -   	 1.12 	 -   	 4.91 	 0.20 	 0.82 	 0.11 	 2.65 	 2.99 	 0.68 	 0.99 	 0.96 	 0.00 	 2.91 	 62.03 	 168.98 	 15.92 	 16.90 	 0.19 	 162.49 	 0.03 	 0.03 	 1.08 	 1.09 	 0.08 	 0.04 	 0.32 	 3.56 	 -   	 -   	 0.81 	 21.81 	 21.97 	 6.64 	 0.03 	 15.34 	 0.04 	 0.07 	 -   	 9.14 	 0.76 	 11.82 	 0.05 	 0.52 	 33.51 	 163.88 	 1.23 	 559.02 	 0.30 	 0.10 	 0.70 	 -   	 -   	 8.94 
9.7	Stuffed vegetable dishes (kossa, warak, 3inad, malfoof)	1 piece/ Side A	Average	 100 	Gram	 100.00 	 130.69 	 66.47 	 17.71 	 4.52 	 12.14 	 2.30 	 -   	 0.75 	 -   	 2.24 	 0.13 	 0.13 	 -   	 5.67 	 7.39 	 1.97 	 3.57 	 1.27 	 0.00 	 12.91 	 55.18 	 819.88 	 111.59 	 81.32 	 8.84 	 1,152.10 	 0.05 	 0.07 	 1.08 	 1.09 	 0.11 	 0.21 	 0.20 	 13.09 	 1.70 	 0.04 	 0.94 	 21.58 	 27.04 	 32.87 	 0.01 	 48.16 	 0.04 	 0.07 	 -   	 6.08 	 1.09 	 15.66 	 0.08 	 0.25 	 49.61 	 143.89 	 4.02 	 196.32 	 0.72 	 0.18 	 1.01 	 -   	 -   	 13.06 
10	Arabic Sweets 																																																																	
10.1	Khanfaroosh	1 piece	Average	 100 	Gram	 100.00 	 334.09 	 119.23 	 39.03 	 8.22 	 45.88 	 1.52 	 -   	 1.22 	 -   	 3.93 	 3.59 	 0.04 	 -   	 12.27 	 13.43 	 4.34 	 1.49 	 2.36 	 0.01 	 41.87 	 28.09 	 60.78 	 18.05 	 0.09 	 60.51 	 -   	 0.16 	 0.19 	 1.42 	 0.68 	 0.12 	 0.50 	 5.06 	 0.06 	 9.23 	 0.68 	 1.75 	 33.87 	 9.79 	 0.04 	 0.74 	 404.21 	 0.05 	 0.01 	 0.01 	 5.63 	 2.04 	 114.64 	 0.08 	 1.92 	 129.79 	 68.89 	 3.46 	 16.37 	 0.17 	 0.02 	 0.20 	 -   	 -   	 33.07 
10.2	Luqaimat	1 piece	Average	 100 	Gram	 100.00 	 275.00 	 85.50 	 -   	 3.00 	 44.40 	 0.50 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 9.50 	 -   	 -   	 -   	 -   	 -   	 42.50 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   
10.3	Muhallabiya/Rice pudding/Custard/Cream caramel   	Side A/ 1 medium container	Average	 100 	Gram	 100.00 	 166.92 	 43.83 	 16.20 	 4.42 	 20.22 	 0.91 	 -   	 0.73 	 -   	 12.67 	 5.24 	 -   	 0.31 	 5.69 	 4.87 	 1.80 	 1.21 	 1.01 	 0.01 	 28.74 	 37.82 	 39.35 	 28.54 	 60.33 	 28.43 	 2.62 	 0.06 	 0.14 	 0.46 	 0.55 	 0.04 	 0.15 	 0.44 	 0.78 	 17.70 	 0.41 	 0.15 	 7.52 	 7.15 	 2.97 	 0.10 	 102.41 	 -   	 0.03 	 -   	 3.40 	 0.42 	 9.36 	 0.02 	 3.35 	 76.51 	 124.76 	 4.80 	 70.76 	 0.37 	 0.11 	 0.87 	 -   	 -   	 23.17 
10.4	Sago	Side A	Average	 100 	Gram	 100.00 	 126.00 	 19.80 	 -   	 1.00 	 25.50 	 0.50 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 2.20 	 -   	 -   	 -   	 -   	 -   	 70.70 	 -   	 -   	 -   	 -   		 0.08 	 0.05 	 0.30 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 18.00 	 -   	 0.03 	 -   	 -   	 1.60 	 53.00 	 -   	 -   	 19.00 	 98.00 	 -   	 5.00 	 0.10 	 -   	 -   	 -   	 -   	 -   
10.5	Aseeda	Side A	Average	 100 	Gram	 100.00 	 243.00 	 107.10 	 -   	 4.30 	 29.60 	 2.00 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 11.90 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.10 	 0.30 	 5.62 	 -   	 -   	 0.40 	 0.70 	 26.80 	 -   	 -   	 0.47 	 -   	 -   	 0.11 	 -   	 -   	 -   	 32.00 	 -   	 -   	 -   	 111.00 	 -   	 170.00 	 0.90 	 -   	 -   	 -   	 -   	 -   
10.6	khabees.	Side A	Average	 100 	Gram	 100.00 	 320.07 	 151.28 	 122.51 	 4.73 	 36.58 	 1.59 	 0.52 	 1.59 	 0.52 	 9.39 	 9.39 	 -   	 -   	 -   	 16.81 	 13.61 	 0.05 	 0.16 	 -   	 16.99 	 41.53 	 311.56 	 93.56 	 -   	 93.56 	 -   	 0.10 	 0.03 	 1.22 	 2.22 	 0.04 	 -   	 -   	 0.12 	 -   	 -   	 -   	 26.51 	 26.51 	 -   	 0.21 	 9.48 	 -   	 0.08 	 0.03 	 0.41 	 0.53 	 18.94 	 0.38 	 -   	 51.06 	 74.67 	 -   	 1.94 	 0.43 	 0.01 	 0.15 	 -   	 -   	 -   
10.7	Other Arabic sweets (kunefe/baklawa…	Side B	Average	 100 	Gram	 100.00 	 366.00 	 138.58 	 73.19 	 4.84 	 56.61 	 2.75 	 -   	 -   	 -   	 10.89 	 9.85 	 -   	 -   	 9.13 	 15.40 	 8.13 	 4.48 	 2.02 	 0.06 	 12.50 	 17.37 	 -   	 40.75 	 -   	 39.75 	 11.50 	 0.10 	 0.09 	 0.70 	 0.70 	 0.04 	 0.05 	 -   	 0.73 	 1.00 	 0.03 	 0.34 	 15.50 	 22.68 	 1.93 	 -   	 35.00 	 -   	 0.07 	 -   	 -   	 0.71 	 9.25 	 -   	 -   	 46.25 	 64.25 	 4.78 	 109.25 	 0.27 	 0.20 	 1.53 	 -   	 -   	 5.43 
11	Desserts & Pastries																																																																	
11.1	Cakes and pastries (Homemade)	Side B	Average	 100 	Gram	 100.00 	 310.82 	 140.15 	 37.64 	 4.67 	 40.18 	 1.02 	 0.11 	 0.07 	 -   	 16.65 	 11.00 	 0.00 	 1.89 	 6.70 	 21.39 	 4.18 	 3.67 	 2.31 	 0.36 	 52.24 	 20.02 	 67.92 	 32.05 	 0.45 	 31.73 	 3.15 	 0.07 	 0.12 	 0.67 	 0.93 	 0.03 	 0.13 	 0.25 	 0.09 	 10.54 	 0.26 	 0.93 	 18.01 	 24.51 	 6.02 	 0.09 	 60.23 	 0.65 	 0.07 	 -   	 1.52 	 1.25 	 13.11 	 0.04 	 0.20 	 93.89 	 107.17 	 8.38 	 287.40 	 0.36 	 0.22 	 1.99 	 0.01 	 1.00 	 29.81 
11.1.1	Cakes and pastries (Industrial)	Side B	Average	 100 	Gram	 100.00 	 310.82 	 140.15 	 37.64 	 4.67 	 40.18 	 1.02 	 0.11 	 0.07 	 -   	 16.65 	 11.00 	 0.00 	 1.89 	 6.70 	 21.39 	 4.18 	 3.67 	 2.31 	 0.36 	 52.24 	 20.02 	 67.92 	 32.05 	 0.45 	 31.73 	 3.15 	 0.07 	 0.12 	 0.67 	 0.93 	 0.03 	 0.13 	 0.25 	 0.09 	 10.54 	 0.26 	 0.93 	 18.01 	 24.51 	 6.02 	 0.09 	 60.23 	 0.65 	 0.07 	 -   	 1.52 	 1.25 	 13.11 	 0.04 	 0.20 	 93.89 	 107.17 	 8.38 	 287.40 	 0.36 	 0.22 	 1.99 	 0.01 	 1.00 	 29.81 
11.2	Croissant (Homemade)	1 Large/1 small	Average	 100 	Gram	 100.00 	 411.11 	 185.70 	 66.86 	 9.69 	 46.49 	 2.29 	 0.87 	 -   	 -   	 11.98 	 -   	 -   	 -   	 21.66 	 20.63 	 7.43 	 4.01 	 1.16 	 -   	 41.33 	 14.73 	 516.33 	 136.67 	 7.33 	 133.00 	 42.33 	 0.30 	 0.19 	 1.45 	 2.60 	 0.04 	 0.16 	 3.34 	 0.13 	 -   	 -   	 0.76 	 54.00 	 77.67 	 4.23 	 0.57 	 30.00 	 -   	 0.06 	 -   	 -   	 1.39 	 13.33 	 0.22 	 -   	 78.33 	 83.33 	 16.50 	 357.67 	 0.56 	 0.20 	 0.96 	 -   	 -   	 25.87 
11.2.1	Croissant (industrial)	1 Large/1 small	Average	 100 	Gram	 100.00 	 411.11 	 185.70 	 66.86 	 9.69 	 46.49 	 2.29 	 0.87 	 -   	 -   	 11.98 	 -   	 -   	 -   	 21.66 	 20.63 	 7.43 	 4.01 	 1.16 	 -   	 41.33 	 14.73 	 516.33 	 136.67 	 7.33 	 133.00 	 42.33 	 0.30 	 0.19 	 1.45 	 2.60 	 0.04 	 0.16 	 3.34 	 0.13 	 -   	 -   	 0.76 	 54.00 	 77.67 	 4.23 	 0.57 	 30.00 	 -   	 0.06 	 -   	 -   	 1.39 	 13.33 	 0.22 	 -   	 78.33 	 83.33 	 16.50 	 357.67 	 0.56 	 0.20 	 0.96 	 -   	 -   	 25.87 
11.3	Chocolate 	1 medium bar/ Side B	Average	 100 	Gram	 100.00 	 491.51 	 247.24 	 137.58 	 5.46 	 50.77 	 1.93 	 -   	 0.84 	 -   	 39.50 	 15.29 	 -   	 2.56 	 1.49 	 27.47 	 15.29 	 1.05 	 0.18 	 0.01 	 2.28 	 1.14 	 12.84 	 3.29 	 0.26 	 3.11 	 1.37 	 0.01 	 0.03 	 0.09 	 0.09 	 0.01 	 0.07 	 -   	 -   	 -   	 -   	 0.33 	 1.44 	 1.39 	 0.87 	 0.04 	 29.11 	 -   	 0.11 	 -   	 2.60 	 1.06 	 15.50 	 0.11 	 -   	 31.89 	 107.22 	 0.64 	 32.79 	 2.14 	 0.01 	 0.12 	 -   	 4.11 	 5.07 
11.4.1	Ice cream ( stick)	1 stick	Average	 100 	Gram	 100.00 	 296.67 	 182.85 	 116.75 	 3.91 	 24.72 	 0.50 	 -   	 -   	 -   	 19.61 	 2.21 	 -   	 -   	 4.61 	 20.32 	 12.97 	 4.40 	 1.75 	 -   	 16.33 	 49.92 	 171.50 	 48.67 	 8.00 	 45.67 	 32.67 	 0.04 	 0.19 	 0.40 	 0.40 	 0.10 	 0.41 	 -   	 0.50 	 6.00 	 0.17 	 0.33 	 7.33 	 7.33 	 1.27 	 0.24 	 160.33 	 -   	 0.08 	 -   	 -   	 0.39 	 22.00 	 0.04 	 -   	 117.67 	 230.67 	 2.07 	 74.67 	 0.61 	 0.15 	 1.53 	 -   	 2.00 	 25.83 
11.4.2	Ice cream ( scope)	1 scoop	Average	 100 	Gram	 100.00 	 206.76 	 91.33 	 39.35 	 4.21 	 24.96 	 0.47 	 -   	 -   	 -   	 14.70 	 11.15 	 -   	 -   	 2.79 	 10.15 	 4.37 	 1.85 	 0.29 	 -   	 26.50 	 34.50 	 105.25 	 68.60 	 1.00 	 67.40 	 11.00 	 0.03 	 0.14 	 0.13 	 0.28 	 0.03 	 0.21 	 0.61 	 0.38 	 4.00 	 0.10 	 0.20 	 6.60 	 7.92 	 0.30 	 0.15 	 79.67 	 -   	 0.04 	 0.01 	 9.75 	 0.24 	 11.80 	 0.00 	 -   	 63.60 	 134.33 	 1.26 	 52.32 	 0.40 	 0.10 	 0.19 	 -   	 0.80 	 14.66 
11.5	Doughnuts 	1 medium	Average	 100 	Gram	 100.00 	 426.00 	 205.74 	 88.67 	 5.52 	 49.52 	 1.80 	 -   	 -   	 -   	 23.51 	 20.41 	 -   	 -   	 24.21 	 22.86 	 9.85 	 7.57 	 3.60 	 -   	 20.00 	 20.62 	 -   	 4.00 	 -   	 4.00 	 2.00 	 0.34 	 0.23 	 2.65 	 2.65 	 0.04 	 0.08 	 -   	 0.60 	 -   	 -   	 1.63 	 96.00 	 144.30 	 10.30 	 -   	 69.00 	 -   	 0.09 	 -   	 -   	 2.36 	 16.00 	 -   	 -   	 178.00 	 113.00 	 12.50 	 378.00 	 0.54 	 0.23 	 3.37 	 -   	 -   	 31.80 
